Points 200
DISTANCES 40000
1 1 0
1 2 16
1 3 86
1 4 93
1 5 84
1 6 61
1 7 45
1 8 34
1 9 65
1 10 65
1 11 85
1 12 83
1 13 21
1 14 20
1 15 52
1 16 19
1 17 41
1 18 39
1 19 84
1 20 91
1 21 48
1 22 69
1 23 26
1 24 27
1 25 48
1 26 83
1 27 82
1 28 10
1 29 25
1 30 32
1 31 55
1 32 62
1 33 82
1 34 62
1 35 57
1 36 53
1 37 67
1 38 11
1 39 30
1 40 52
1 41 85
1 42 29
1 43 61
1 44 34
1 45 43
1 46 14
1 47 68
1 48 39
1 49 89
1 50 53
1 51 71
1 52 41
1 53 33
1 54 83
1 55 71
1 56 93
1 57 30
1 58 34
1 59 90
1 60 14
1 61 80
1 62 76
1 63 29
1 64 88
1 65 19
1 66 44
1 67 40
1 68 42
1 69 48
1 70 31
1 71 27
1 72 82
1 73 54
1 74 73
1 75 84
1 76 49
1 77 88
1 78 12
1 79 22
1 80 32
1 81 73
1 82 65
1 83 19
1 84 55
1 85 14
1 86 45
1 87 25
1 88 70
1 89 14
1 90 87
1 91 64
1 92 67
1 93 31
1 94 71
1 95 96
1 96 79
1 97 50
1 98 55
1 99 48
1 100 53
1 101 76
1 102 40
1 103 25
1 104 75
1 105 78
1 106 62
1 107 49
1 108 74
1 109 85
1 110 58
1 111 100
1 112 39
1 113 60
1 114 66
1 115 14
1 116 36
1 117 77
1 118 20
1 119 78
1 120 47
1 121 71
1 122 24
1 123 25
1 124 42
1 125 24
1 126 39
1 127 54
1 128 12
1 129 15
1 130 73
1 131 28
1 132 54
1 133 34
1 134 76
1 135 88
1 136 66
1 137 44
1 138 54
1 139 15
1 140 15
1 141 31
1 142 49
1 143 53
1 144 27
1 145 31
1 146 33
1 147 64
1 148 16
1 149 61
1 150 30
1 151 94
1 152 11
1 153 48
1 154 97
1 155 86
1 156 52
1 157 13
1 158 84
1 159 93
1 160 49
1 161 79
1 162 37
1 163 48
1 164 42
1 165 69
1 166 61
1 167 98
1 168 12
1 169 91
1 170 75
1 171 30
1 172 47
1 173 14
1 174 39
1 175 32
1 176 87
1 177 69
1 178 99
1 179 80
1 180 81
1 181 49
1 182 30
1 183 94
1 184 42
1 185 12
1 186 20
1 187 60
1 188 93
1 189 73
1 190 18
1 191 88
1 192 85
1 193 42
1 194 35
1 195 50
1 196 64
1 197 93
1 198 39
1 199 88
1 200 68
2 1 16
2 2 0
2 3 31
2 4 40
2 5 16
2 6 99
2 7 40
2 8 75
2 9 92
2 10 53
2 11 67
2 12 19
2 13 34
2 14 14
2 15 30
2 16 29
2 17 81
2 18 41
2 19 67
2 20 44
2 21 28
2 22 99
2 23 27
2 24 67
2 25 73
2 26 80
2 27 41
2 28 15
2 29 47
2 30 96
2 31 16
2 32 71
2 33 15
2 34 40
2 35 61
2 36 29
2 37 13
2 38 23
2 39 81
2 40 84
2 41 30
2 42 11
2 43 99
2 44 93
2 45 63
2 46 30
2 47 58
2 48 88
2 49 61
2 50 83
2 51 84
2 52 70
2 53 73
2 54 70
2 55 87
2 56 23
2 57 43
2 58 67
2 59 71
2 60 70
2 61 29
2 62 46
2 63 46
2 64 35
2 65 35
2 66 49
2 67 49
2 68 69
2 69 87
2 70 96
2 71 35
2 72 58
2 73 34
2 74 61
2 75 22
2 76 54
2 77 29
2 78 94
2 79 93
2 80 81
2 81 90
2 82 68
2 83 51
2 84 29
2 85 96
2 86 16
2 87 62
2 88 79
2 89 96
2 90 86
2 91 88
2 92 34
2 93 75
2 94 37
2 95 54
2 96 30
2 97 24
2 98 39
2 99 34
2 100 21
2 101 23
2 102 58
2 103 60
2 104 15
2 105 70
2 106 43
2 107 53
2 108 90
2 109 76
2 110 59
2 111 48
2 112 33
2 113 50
2 114 55
2 115 80
2 116 69
2 117 61
2 118 84
2 119 71
2 120 67
2 121 28
2 122 19
2 123 64
2 124 99
2 125 13
2 126 68
2 127 74
2 128 16
2 129 36
2 130 22
2 131 32
2 132 40
2 133 54
2 134 89
2 135 59
2 136 74
2 137 15
2 138 100
2 139 57
2 140 45
2 141 16
2 142 47
2 143 35
2 144 88
2 145 72
2 146 70
2 147 73
2 148 78
2 149 64
2 150 16
2 151 27
2 152 53
2 153 47
2 154 18
2 155 79
2 156 52
2 157 31
2 158 59
2 159 55
2 160 29
2 161 31
2 162 34
2 163 49
2 164 28
2 165 68
2 166 79
2 167 68
2 168 61
2 169 67
2 170 62
2 171 37
2 172 43
2 173 88
2 174 56
2 175 91
2 176 83
2 177 50
2 178 19
2 179 41
2 180 45
2 181 49
2 182 75
2 183 73
2 184 27
2 185 71
2 186 14
2 187 81
2 188 100
2 189 28
2 190 49
2 191 87
2 192 37
2 193 40
2 194 80
2 195 29
2 196 89
2 197 85
2 198 55
2 199 17
2 200 79
3 1 86
3 2 31
3 3 0
3 4 50
3 5 14
3 6 80
3 7 97
3 8 94
3 9 54
3 10 80
3 11 72
3 12 69
3 13 53
3 14 42
3 15 70
3 16 69
3 17 86
3 18 81
3 19 97
3 20 44
3 21 23
3 22 54
3 23 69
3 24 48
3 25 36
3 26 13
3 27 86
3 28 67
3 29 47
3 30 97
3 31 10
3 32 62
3 33 98
3 34 57
3 35 47
3 36 96
3 37 83
3 38 42
3 39 17
3 40 63
3 41 67
3 42 15
3 43 89
3 44 40
3 45 74
3 46 63
3 47 74
3 48 80
3 49 41
3 50 16
3 51 64
3 52 93
3 53 63
3 54 43
3 55 65
3 56 26
3 57 53
3 58 42
3 59 47
3 60 22
3 61 64
3 62 58
3 63 50
3 64 82
3 65 77
